Группа	Код	Наименование	Наличие	Цена1 	Цена2	Цена3	Цена4	Старая цена	Описание краткое	Описание полное	Арт. Аналогов	Штрих код
												
1	5000	Двигатель										0
2	5001	Головки блока										0
	5002	OPEL 1.3 13S/SB/NB головка блока цилиндра ATS	1	7830	7440	7070	6720	8770	ATS	907008	907008=0607008-???	0
	5003	OPEL 1.3 C13N головка блока цилиндра ATS	1	6850	6510	6180	5870	7670	ATS	907187	907187=0607187-???	0
	5010	VW 1,9TD AAZ 8мм головка блока  ATS	1	24230	23020	21870	20780	27140	ATS	908052	908052	0
	5013	VW 2.5TDI AJT головка блока	1	38580	36650	34820	33080	43210	Kolbenschmidt	50003115	908704=074103351C=50003115	0
2	5014	Поршни										0
	5015	AUDI/VW 1,9TD 79.5 STD dp26мм AAZ/ABL 1cil поршни поштучно	6	2570	2440	2320	2200	2880	Mopisan	MP-9053-00	MP 9053.00=PN-51280=MP-9053-00	0
	5016	AUDI/VW 1,9TD 80.0 +0,5мм dp26мм AAZ/ABL 1cil поршни поштучно с кольцами	0	3420	3250	3090	2940	3830	Goetze	87-990107-10	MP 9053.02=PN-51281=MP-9053-10=91429620=87-990107-10	0
	5017	AUDI/VW 1,9TD 80.5 +1,0мм dp26мм AAZ/ABL 1cil поршни поштучно	0	3090	2940	2790	2650	3460	ATS	MP 9053.03	MP 9053.03=MP-9053-11 /2002344085017	0
	5019	AUDI/VW 1.6-1,8 81.5 +0,5мм поршни поштучно яма -2,3	4	2080	1980	1880	1790	2330	ATS	MP 1231.02	MP1231.02/MP1231/93872600/0347600/08132E1032/93872620/0347602	0
	5020	AUDI/VW 1.6TD 76.5 STD 1cil поршни поштучно	1	2140	2030	1930	1830	2400	ATS	MP 9007.00	MP9007.00/MP9007/1181010/5606-000/5606-000/MP8993.00/MP9007.00/90732600/90732600/0297900/A350833/068107065AT/068107065AL/90732600/0297900	0
	5021	AUDI/VW 1.6TD 77.0 +0,5мм поршни поштучно	2	2140	2030	1930	1830	2400	ATS	MP 9007.01	MP9007.01/MP9007/1181010/5606-000/5606-000/MP8993.00/MP9007.00/90732600/90732600/0297900/A350833/068107065AT/90732610/0297912	0
	5022	AUDI/VW 1.6TD 77.5 +1,0мм поршни поштучно	4	2420	2300	2190	2080	2710	ATS	MP 9007.02	MP9007.02/MP9007/1181010/5606-000/5606-000/MP8993.00/MP9007.00/90732600/90732600/0297900/A350833/068107065AT/90732620/0297903	0
	5023	AUDI/VW 1.8 81.5 +0,5мм (-4.4) поршни поштучно	8	1660	1580	1500	1430	1860	ATS	MP 1229.02	MP1229.02/MP1229/93928600/0347500/21467V1/026107065R/93928620/0347502	0
	5026	AUDI/VW 1.8 82.0 +1,0мм (-8.1) 1cil поршни поштучно	0	1210	1150	1090	1040	1360	ATS	MP 1230.03	MP1230.03/MP1230/1200012/93875600/0347800/026107065N/0347803	0
	5027	AUDI/VW 1.9D-2,4D 79.5 STD dp24мм 1cil поршни поштучно	9	2050	1950	1850	1760	2300	AutoWelt	PN-51020	1309.000=1309000=MP9046.00=PN-51020=MP9046/91386600/0298200/028107065CF/91386600/0298200	0
	5028	AUDI/VW 1.9D-2,4D 80.0 +0,5мм dp24мм 1cil поршни поштучно	5	2000	1900	1810	1720	2240	AutoWelt	PN-51021	MP9046.02=PN-51021=MP9046=5607-050=6348624/A350823/91386620/1225011/91386600/0298200/91386620	0
	5029	AUDI/VW 1.9D-2,4D 80.5 +1,0мм dp24мм 1cil поршни поштучно	2	2050	1950	1850	1760	2300	ATS	MP 9046.03	MP9046.03/MP9046/5607-100/1225012/MP9046.02S/91386600/0298200/91386630/0298213	0
	5030	AUDI/VW 2,5TDi 81.5 +0,5мм AJT/ACV/AHD 1-2цил 1cil поршни поштучно	0	4140	3930	3730	3540	4640	ATS	MP 9088.01	MP9088.01=0305802=99742720=87-501507-00	0
	5031	AUDI/VW 2,5TDi 81.5 +0,5мм AJT/ACV/AHD 3-5цил 1cil поршни поштучно	0	4140	3930	3730	3540	4640	ATS	MP 9089.01	MP9089.01=0305902=99743720=2309050	0
	5033	AUDI/VW 2.2 82.0 +1,0мм KU,KV поршни поштучно	5	1320	1250	1190	1130	1480	ATS	MP 1234.03	MP1234.03/MP1234/93825600/0347400/034107065C	0
	5034	AUDI/VW 83.0 +0,5мм ABT / AAE поршни поштучно	4	1660	1580	1500	1430	1860	ATS	MP 1287.01	MP1287.01=91516620=MP-1287-11=0339701	0
	5035	FORD 1,6 ОНС  +0,5мм 88,15мм поршни поштучно 2-2,5-4	4	2550	2420	2300	2190	2860	ATS	MP 3847.01	MP3847.01=87-205807-00=18753V2	0
	5036	FORD 2,0 ОНС  +0,5мм 91,3мм  поршни поштучно 2-2,5-4	4	2250	2140	2030	1930	2520	ATS	MP 3895.01	MP3895.01=PY1443.020=ATS2313-050	0
	5037	FORD 2.5Di 94.32 Transit 88> 1cil поршни поштучно	1	3730	3540	3360	3190	4180	ATS	MP 3946.01	MP3946.01	0
	5038	MERCEDES 2,0 +0,5  89,5мм M102 палец 22мм поршни поштучно	6	2760	2620	2490	2370	3090	ATS	MP 2546.02	4008-050/MP2546.02/93673710	0
	5039	MITS поршни 1рем ориг MD361351  [min 4]	4	3260	3100	2950	2800	3650	Mitsubishi	MD361351	MD361351	0
	5040	NISSAN LD II 1рем 86мм поршни поштучно  [min 4]	4	2790	2650	2520	2390	3120	AutoWelt	PN-33021	PN-33021 	0
	5041	OPEL 1.3 75.0 STD 13S/SB,C13N 1cil поршни поштучно	4	660	630	600	570	740	ATS	MP 6536.00	MP6536.00/MP6536/93868600/21776/623718/93868600/0112600	0
	5042	OPEL 1.3 75.5 +0,5мм 13S/SB,C13N 1cil поршни поштучно	4	1660	1580	1500	1430	1860	ATS	MP 6536.01	MP6536.01/MP6536/93868600/21776/93868610/0112611	0
	5043	OPEL 1.3 76.0 +1,0мм 13S/SB,C13N 1cil поршни поштучно	4	1960	1860	1770	1680	2200	ATS	MP 6536.03	MP6536.03=MP6536.02/MP6536/93868600/21776/93868630/0112612	0
	5044	DAEWOO 0,8 +0,5мм поршни поштучно	4	610	580	550	520	680	PMC	PXMSC-001C	XPM-PXMSC-001C=96567380=pxmsc001c=P12111A78B01-050-S	0
	5045	OPEL 1.6 79.0 STD 16V X16XEL 1cil поршни поштучно	4	1550	1470	1400	1330	1740	ATS	MP 6560.00	MP6560.00=MP6560=0116900=94637600=5623040=5623040=94637600=0116900	0
	5049	OPEL 1.6 80.5 +0,5мм 16S/SH 1cil поршни поштучно	8	1520	1440	1370	1300	1700	ATS	MP 6579.01	MP6579.01=MP6579=93637700=0115600=21262=5623771=93637710	0
	5050	OPEL 1.6D 80.5 +0,5мм 1cil поршни поштучно	12	1100	1050	1000	950	1230	ATS	MP 6577.01	MP6577.01=MP6577=93578600=0115400=A350374=5623018=93578610=0115401	0
	5051	OPEL 1.6D 80.5 +1,0мм 1cil поршни поштучно	4	1660	1580	1500	1430	1860	ATS	MP 6577.02	MP6577.01=MP6577=93578600=0115400=A350374=5623018=93578610=0115401	0
	5052	OPEL 1.7D 83.0 +0,5мм 17D/DR 1cil поршни поштучно	4	2760	2620	2490	2370	3090	ATS	MP 4130.01	MP4130.01=MP4130=90858600=90858610=0112901	0
	5054	OPEL 2.0 86.5 +0,5мм X20XEV 16V 1cil поршни поштучно	4	1350	1280	1220	1160	1510	ATS	MP 6632.01	MP6632.01/MP6632/97332600/0117300/87-71665/97332610/0117301	0
	5056	OPEL 2.0 Om 87.0 +1,0мм C20NE 87.0 поршни поштучно	4	1660	1580	1500	1430	1860	ATS	MP 6630.02	MP6630.02/MP6630	0
	5057	OPEL 2.0 Rec 95.5 +0,5мм 1cil поршни поштучно	4	1770	1680	1600	1520	1980	ATS	MP 6704.01	MP6704.01=MP6704=93221600=0119000=5623675	0
	5058	VW 1.7D 80.0 +0,5мм 1cil поршни поштучно	4	2790	2650	2520	2390	3120	ATS	MP 9049.02	MP9049.02/MP9049/93921600/0298100/033107065/93921620/0298101	0
2	5059	Гильзы										0
	5060	Гильза MERCEDES  1,9D-2,4D d=89,0мм h=156,5мм	3	1440	1370	1300	1240	1610	Goetze	14-026380-00	14-026380-00	0
	5061	Гильза MERCEDES  616/617 d=91,0мм h=158,4мм	2	880	840	800	760	990	Mopisan	ML 2571.605	14-021350-00=ML 2571.605	0
	5062	Гильза MITSUBISHI 2,5TD d=91,1мм h=165мм	8	1210	1150	1090	1040	1360	Mopisan	ML 6130.605	CL-32020	0
	5063	Гильза MITSUBISHI 2,8TD d=95,0мм h=187мм 4M40/4M42	4	1660	1580	1500	1430	1860	AutoWelt	CL-32030	CL-32030	0
	5064	Гильза OPEL 1,6D d=80мм h=143,5мм	6	1100	1050	1000	950	1230	Mopisan	ML 6577.605	ML 6577.605	0
